AverageQ,MaxEsReturn,AverageEsReturn,AverageY,MaxReturn,AverageReturn,MinReturn,AverageDiscountedReturn,StdEsReturn,QFunRegParamNorm,AverageAbsQYDiff,AverageAbsY,AverageAction,MinEsReturn,AverageQLoss,Iteration,PolicyRegParamNorm,AveragePolicySurr,AverageAbsQ,Epoch,StdReturn
517.717,3291.82724697,3291.82724697,517.721209292,5357.12955561,4194.47645139,28.9340616263,380.538034072,0.0,267.127,4.28574130081,517.721820261,0.999616,3291.82724697,337.245,1863,182.335,-519.942,517.718,1863,1921.0055966
518.303,3751.47512824,3751.47512824,518.315866689,5874.13383401,4125.36551195,149.308478658,418.816725889,0.0,267.183,4.09074768188,518.316399521,0.999807,3751.47512824,279.91,1864,182.353,-520.496,518.303,1864,2029.07836226
519.002,3500.00680132,3500.00680132,519.012107105,5479.69000443,4785.88553909,1852.62716618,412.857325802,0.0,267.291,4.36845250806,519.014583883,0.999703,3500.00680132,343.942,1865,182.425,-521.082,519.005,1865,1001.54509733
518.232,3557.58673875,3557.58673875,518.245830711,5528.50980932,5343.22135127,4990.25806756,418.060082251,0.0,267.397,4.32894803077,518.246982819,0.999592,3557.58673875,343.53,1866,182.469,-520.41,518.237,1866,145.425775027
519.225,3824.90845721,3824.90845721,519.230000186,5502.01010488,5319.46774007,5188.74874176,418.31929974,0.0,267.431,4.0953585523,519.230589235,0.99978,3824.90845721,277.068,1867,182.531,-521.287,519.226,1867,98.9027794808
518.693,3801.67536683,3801.67536683,518.690612127,5720.00478598,5114.23930631,1240.90859086,438.534126836,0.0,267.473,4.34300388643,518.692092086,0.999792,3801.67536683,345.36,1868,182.511,-520.786,518.696,1868,1295.8266689
518.576,3936.08848916,3936.08848916,518.579786008,5738.81339739,4956.71882126,766.251320364,431.320403716,0.0,267.527,3.9546708865,518.580193189,0.999815,3936.08848916,242.534,1869,182.567,-520.702,518.577,1869,1445.60535038
518.983,3652.27117173,3652.27117173,518.995515797,5930.24571769,4744.58503058,2008.39310768,445.977570669,0.0,267.653,4.22089040073,518.996257647,0.999638,3652.27117173,298.907,1870,182.675,-521.016,518.985,1870,1381.16599003
518.253,655.812948587,655.812948587,518.264314853,5460.08784022,4550.16300936,58.8100093448,402.36975653,0.0,267.714,4.17938010909,518.264729595,0.999697,655.812948587,313.037,1871,182.812,-520.37,518.254,1871,1600.36915768
518.435,3631.38810808,3631.38810808,518.425828205,5574.91043864,3092.05748341,473.770177163,407.085561516,0.0,267.779,4.13568876879,518.426636657,0.999825,3631.38810808,304.449,1872,182.787,-520.514,518.436,1872,1750.21800209
519.403,3709.74592228,3709.74592228,519.42609637,5905.02871363,5205.61706795,1323.51933321,414.666525695,0.0,267.876,3.94688938151,519.427418681,0.999807,3709.74592228,259.499,1873,182.823,-521.555,519.404,1873,1302.83601695
